"Sub-Brand","Sub-Brand"
"#632492","#632492"
"#806390","#806390"
"#757529","#757529"
"#953162","#953162"
"#953163","#953163"
"#538029","#538029"
"Ideal for Yard size","Ideal for Yard size"
"Up to ½ acre","Up to ½ acre"
"Up to ½ acre","Up to ½ acre"
"Up to ½ acre","Up to ½ acre"
"Up to 1/4 acre","Up to 1/4 acre"
"Up to 1/4 acre","Up to 1/4 acre"
"Up to ½ acre","Up to ½ acre"
"Engine","Engine"
"Honda","Honda"
"Honda","Honda"
"Honda","Honda"
"Honda","Honda"
"Briggs & Stratton","Briggs & Stratton"
"Briggs & Stratton","Briggs & Stratton"
"Engine displacement","Engine displacement"
"190cc","190cc"
"160cc","160cc"
"190cc","190cc"
"160cc","160cc"
"163cc","163cc"
"190cc","190cc"
"Engine Horsepower","Engine Horsepower"
"4 HP","4 HP"
"4 HP","4 HP"
"3.33 HP","3.33 HP"
"Cutting width","Cutting width"
"22 in.","22 in."
"21 in.","21 in."
"22 in.","22 in."
"21 in.","21 in."
"21 in.","21 in."
"22 in.","22 in."
"Drive type","Drive type"
"AWD","AWD"
"RWD","RWD"
"AWD","AWD"
"FWD","FWD"
"AWD","AWD"
"AWD","AWD"
"Self-propelled","Self-propelled"
"Foldable Handle","Foldable Handle"
"Cut Height Adjustment","Cut Height Adjustment"
"4-Point","4-Point"
"Dual-lever","Dual-lever"
"4-Point","4-Point"
"4-Point","4-Point"
"4-Point","4-Point"
"4-Point","4-Point"
"Bag Capacity Quantity by Dry Volume","Bag Capacity Quantity by Dry Volume"
"Bag Capacity Unit of Measure","Bag Capacity Unit of Measure"
"Mulch Type","Mulch Type"
"Contains Herbicide","Contains Herbicide"
"Contains Insecticide","Contains Insecticide"
"Controls Moisture","Controls Moisture"
"Certified for Playgrounds","Certified for Playgrounds"
"Guarantee","Guarantee"
"EPA Registration Number","EPA Registration Number"
"Organic","Organic"
"Primary Usage","Primary Usage"
"Sq. Ft. Coverage at 2-Inch Depth","Sq. Ft. Coverage at 2-Inch Depth"
"Texture","Texture"
"Shipping Option","Shipping Option"
"Made from Recycled Material","Made from Recycled Material"
"Biodegradable","Biodegradable"
"Bag Capacity Quantity by Dry Volume","Bag Capacity Quantity by Dry Volume"
"Bag Capacity Unit of Measure","Bag Capacity Unit of Measure"
"Mulch Type","Mulch Type"
"Contains Herbicide","Contains Herbicide"
"Contains Insecticide","Contains Insecticide"
"Controls Moisture","Controls Moisture"
"Certified for Playgrounds","Certified for Playgrounds"
"Guarantee","Guarantee"
"EPA Registration Number","EPA Registration Number"
"Organic","Organic"
"Primary Usage","Primary Usage"
"Sq. Ft. Coverage at 2-Inch Depth","Sq. Ft. Coverage at 2-Inch Depth"
"Texture","Texture"
"Biodegradable","Biodegradable"
"Bag Capacity Quantity by Dry Volume","Bag Capacity Quantity by Dry Volume"
"Bag Capacity Unit of Measure","Bag Capacity Unit of Measure"
"Mulch Type","Mulch Type"
"Contains Herbicide","Contains Herbicide"
"Contains Insecticide","Contains Insecticide"
"Controls Moisture","Controls Moisture"
"Certified for Playgrounds","Certified for Playgrounds"
"Guarantee","Guarantee"
"EPA Registration Number","EPA Registration Number"
"Organic","Organic"
"Primary Usage","Primary Usage"
"Sq. Ft. Coverage at 2-Inch Depth","Sq. Ft. Coverage at 2-Inch Depth"
"Texture","Texture"
"Shipping Option","Shipping Option"
"Made from Recycled Material","Made from Recycled Material"
"Biodegradable","Biodegradable"
"Adjustable Height","Adjustable Height"
"Amps","Amps"
"Best Use","Best Use"
"Cutting Swath","Cutting Swath"
"Edger Capable","Edger Capable"
"Line Feed","Line Feed"
"Package Contents","Package Contents"
"Recommended Line Diameter","Recommended Line Diameter"
"Shaft Length","Shaft Length"
"Shaft Type","Shaft Type"
"Single or Dual Line Feed","Single or Dual Line Feed"
"Adjustable Height","Adjustable Height"
"Battery Included","Battery Included"
"Battery Recharge Time","Battery Recharge Time"
"Battery Voltage","Battery Voltage"
"Best Use","Best Use"
"Brushless","Brushless"
"Cutting Swath","Cutting Swath"
"Edger Capable","Edger Capable"
"Fast Charger Included","Fast Charger Included"
"Line Feed","Line Feed"
"Number of Batteries Included","Number of Batteries Included"
"Package Contents","Package Contents"
"Recommended Line Diameter","Recommended Line Diameter"
"Shaft Length","Shaft Length"
"Shaft Type","Shaft Type"
"Single or Dual Line Feed","Single or Dual Line Feed"
"Adjustable Height","Adjustable Height"
"Amps","Amps"
"Best Use","Best Use"
"Cutting Swath","Cutting Swath"
"Edger Capable","Edger Capable"
"Line Feed","Line Feed"
"Package Contents","Package Contents"
"Recommended Line Diameter","Recommended Line Diameter"
"Shaft Length","Shaft Length"
"Shaft Type","Shaft Type"
"Single or Dual Line Feed","Single or Dual Line Feed"
"See product page 8 Amp 12-Inch Electric Snow Shovel","See product page 8 Amp 12-Inch Electric Snow Shovel"
"See product page 4 Amp 22-Inch Corded Rotating Hedge Trimmer","See product page 4 Amp 22-Inch Corded Rotating Hedge Trimmer"
"10A 18-Inch Corded String Trimmer, Gas Attachment Capable","10A 18-Inch Corded String Trimmer, Gas Attachment Capable"
"9A 14-Inch Corded Chainsaw","9A 14-Inch Corded Chainsaw"
"Model Number","Model Number"
"GBSS0800","GBSS0800"
"22122","22122"
